,track_id, year, month, day, hour, i, j, lon, lat, psl_min, sfcWind_max, orog_max, wind_max_925, wind_max_850, rh_avg_850
1689,77,2020,9,12,18,1273,473,179.085938,-45.609375,100071.8,16.03512,0.0,23.17596,20.3658,79.95382
1690,77,2020,9,13,0,1279,482,179.929688,-44.765625,100002.0,17.8964,0.0,24.33747,22.81721,79.76035
1691,77,2020,9,13,6,1285,485,180.773438,-44.484375,100174.2,16.64942,0.0,22.41721,20.625,78.42557
1692,77,2020,9,13,12,1298,487,182.601562,-44.296875,100468.2,14.5629,0.0,17.60726,18.5308,82.0126
1693,77,2020,9,13,18,1311,488,184.429688,-44.203125,100709.8,14.83766,0.0,20.18044,19.26866,83.50117
1694,77,2020,9,14,0,1343,494,188.929688,-43.640625,100801.0,15.10381,0.0,20.55861,19.25365,85.5723
1695,77,2020,9,14,6,1343,480,188.929688,-44.953125,100739.2,16.57747,0.0,20.47292,18.24529,88.68616
1696,77,2020,9,14,12,1337,473,188.085938,-45.609375,100838.8,15.81139,0.0,19.48918,18.5,89.11109
1697,77,2020,9,14,18,1334,476,187.664063,-45.328125,100996.8,14.82449,0.0,19.55761,17.59128,86.47502
1698,77,2020,9,15,0,1335,477,187.804688,-45.234375,101080.8,16.1405,0.0,20.23919,20.35697,84.02523
1699,78,2020,9,12,18,834,1077,117.351562,11.015625,100386.2,18.05028,0.0,25.2147,26.12859,83.45325
1700,78,2020,9,13,0,843,1100,118.617188,13.171875,100529.0,16.95813,0.0,22.37535,23.75395,82.44552
1701,78,2020,9,13,6,843,1110,118.617188,14.109375,100113.8,16.67567,0.0,23.39137,23.56971,83.72896
1702,78,2020,9,13,12,839,1110,118.054688,14.109375,100144.8,18.14008,0.0,22.30541,21.55226,83.37847
1703,78,2020,9,13,18,837,1107,117.773437,13.828125,99852.5,17.64449,0.0,24.15186,21.06426,83.50296
1704,78,2020,9,14,0,842,1117,118.476562,14.765625,99945.75,15.67043,0.0,19.90171,22.68328,84.08712
1705,78,2020,9,14,6,840,1125,118.195312,15.515625,99574.25,18.66564,0.0,22.48923,23.83963,82.82854
1706,78,2020,9,14,12,838,1131,117.914063,16.078125,99488.75,18.66564,0.0,24.54747,22.89651,83.81017
1707,78,2020,9,14,18,835,1139,117.492188,16.828125,99017.75,21.20178,0.0,25.65547,25.4859,84.19256
1708,78,2020,9,15,0,832,1146,117.070312,17.484375,98680.75,24.1871,0.0,34.68722,31.97069,84.5697
1709,78,2020,9,15,6,829,1155,116.648438,18.328125,98615.25,23.16045,0.0,30.01302,28.40252,84.3475
1710,78,2020,9,15,12,825,1156,116.085938,18.421875,98604.25,30.35879,0.0,38.04808,30.89549,84.00056
1711,78,2020,9,15,18,823,1158,115.804688,18.609375,97759.75,34.21554,0.0,50.30672,41.60116,82.92961
1712,78,2020,9,16,0,821,1161,115.523438,18.890625,98371.75,25.50306,0.0,35.26019,35.01807,83.35069
1713,78,2020,9,16,6,821,1165,115.523438,19.265625,98031.5,30.57803,0.0,37.29967,36.23383,83.83883
1714,78,2020,9,16,12,817,1165,114.960938,19.265625,98150.25,29.38165,0.0,42.60007,40.80518,84.17563
1715,78,2020,9,16,18,813,1167,114.398438,19.453125,97862.5,34.38068,0.0,49.98078,48.58787,83.90364
1716,78,2020,9,17,0,809,1167,113.835937,19.453125,97667.25,36.31847,0.0,49.14901,44.80043,84.15925
1717,78,2020,9,17,6,804,1168,113.132812,19.546875,97391.75,35.66533,0.0,50.8183,47.58841,82.81178
1718,78,2020,9,17,12,800,1167,112.570312,19.453125,97361.75,35.75612,0.0,52.68198,53.22417,86.76523
1719,78,2020,9,17,18,795,1168,111.867188,19.546875,97421.75,36.80629,0.0,51.38853,49.48895,88.69465
1720,78,2020,9,18,0,788,1168,110.882812,19.546875,98351.0,26.26904,0.02543552,38.80742,39.16093,87.54166
1721,78,2020,9,18,6,782,1168,110.039063,19.546875,99231.5,21.58739,102.2138,29.65347,31.73154,87.7395
1722,78,2020,9,18,12,777,1164,109.335938,19.171875,99952.75,20.35083,473.5939,27.6134,27.87948,88.93293
1723,78,2020,9,18,18,773,1159,108.773438,18.703125,100017.5,19.63296,271.4984,25.46137,25.86292,83.50525
1724,78,2020,9,19,0,766,1155,107.789063,18.328125,100089.5,21.89535,0.0,28.73396,28.99623,82.02999
1725,78,2020,9,19,6,763,1155,107.367188,18.328125,99850.25,22.58906,0.0,26.68011,26.74562,84.65289
1726,78,2020,9,19,12,759,1155,106.804687,18.328125,99999.0,21.70001,0.0,28.72336,26.38566,84.46147
1727,78,2020,9,19,18,756,1154,106.382812,18.234375,100286.0,16.00439,8.428879,21.30324,24.36474,84.78622
1728,79,2020,9,15,6,1016,1142,142.945312,17.109375,99849.25,21.50036,0.0,30.89549,30.37911,82.06033
1729,79,2020,9,15,12,1014,1152,142.664062,18.046875,100118.5,18.78039,0.0,26.52387,25.98557,84.51899
1730,79,2020,9,15,18,1011,1155,142.242188,18.328125,99853.25,19.38508,0.0,26.80019,24.07183,84.08082
1731,79,2020,9,16,6,1010,1149,142.101562,17.765625,99705.25,19.4378,0.0,27.63207,28.79073,84.54432
1732,79,2020,9,16,12,1011,1151,142.242188,17.953125,99964.0,18.40601,0.0,27.16644,26.88227,83.6746
1733,79,2020,9,16,18,1009,1158,141.960938,18.609375,99707.0,18.85181,0.0,27.18369,27.40039,84.62511
1734,79,2020,9,17,0,1005,1155,141.398438,18.328125,99867.5,26.37293,0.0,33.80181,28.50795,83.72228
1735,79,2020,9,17,6,1008,1165,141.820312,19.265625,99417.75,22.6595,0.0,32.95001,32.08801,83.55728
1736,79,2020,9,17,12,1008,1167,141.820312,19.453125,99345.0,26.32608,0.0,37.27956,38.93103,84.41397
1737,79,2020,9,17,18,1004,1180,141.257812,20.671875,98990.25,23.26209,0.0,35.52398,35.8059,83.19187
1738,79,2020,9,18,0,1003,1184,141.117188,21.046875,98832.25,23.79732,0.0,34.93968,35.90895,84.05658
1739,79,2020,9,18,6,999,1187,140.554688,21.328125,98262.0,24.38301,0.0,34.38863,35.06178,84.01007
1740,79,2020,9,18,12,991,1192,139.429688,21.796875,97903.5,28.09471,0.0,39.7555,38.75605,84.78292
1741,79,2020,9,18,18,985,1196,138.585938,22.171875,97446.25,29.89382,0.0,42.03812,43.72803,83.94855
1742,79,2020,9,19,0,978,1199,137.601562,22.453125,96994.25,30.37526,0.0,43.39679,42.39565,83.37209
1743,79,2020,9,19,6,970,1201,136.476562,22.640625,96089.25,42.25111,0.0,58.60581,57.35035,84.64697
1744,79,2020,9,19,12,964,1204,135.632812,22.921875,94979.0,45.48575,0.0,60.49961,63.44991,83.03862
1745,79,2020,9,19,18,955,1207,134.367188,23.203125,93457.5,44.53317,0.0,59.03984,59.48214,85.37495
1746,79,2020,9,20,0,948,1207,133.382812,23.203125,93943.5,43.671,0.0,59.27861,60.33099,86.47691
1747,79,2020,9,20,6,941,1209,132.398438,23.390625,92797.25,54.78324,0.0,69.41463,71.47607,85.96862
1748,79,2020,9,20,12,933,1210,131.273438,23.484375,92005.0,57.13539,0.0,73.65768,77.29105,87.42995
1749,79,2020,9,20,18,926,1210,130.289062,23.484375,91712.5,54.20591,0.0,67.93494,73.97603,88.31077
1750,79,2020,9,21,0,920,1210,129.445312,23.484375,91570.75,59.05321,0.0,70.1289,76.81187,86.80895
1751,79,2020,9,21,6,915,1212,128.742188,23.671875,90913.75,57.56152,0.0,67.88409,74.91505,87.21008
1752,79,2020,9,21,12,911,1213,128.179688,23.765625,91153.5,52.05916,0.0,65.06307,66.44794,88.28494
1753,79,2020,9,21,18,906,1218,127.476562,24.234375,91435.25,56.06748,0.0,68.37877,73.72722,90.51871
1754,79,2020,9,22,0,904,1222,127.195313,24.609375,91680.0,59.5525,0.0,75.35593,81.80808,89.43829
1755,79,2020,9,22,6,904,1228,127.195313,25.171875,90900.0,63.64845,0.0,72.30415,86.38368,91.27775
1756,79,2020,9,22,12,906,1235,127.476562,25.828125,91717.5,57.66783,0.0,73.82411,80.08287,91.20916
1757,79,2020,9,22,18,908,1245,127.757813,26.765625,91852.25,53.16161,0.0,68.5431,76.56901,90.81767
1758,79,2020,9,23,0,912,1256,128.320312,27.796875,92025.5,54.20923,0.0,70.78356,79.55943,90.58938
1759,79,2020,9,23,6,916,1268,128.882812,28.921875,91578.25,59.75157,0.0,69.45558,78.39005,89.71122
1760,79,2020,9,23,12,923,1284,129.867188,30.421875,91703.5,59.11033,0.0,71.43845,74.0304,86.52174
1761,79,2020,9,23,18,932,1307,131.132812,32.578125,94354.5,39.35515,903.8531,56.98821,61.55041,86.94328
1762,79,2020,9,24,0,945,1335,132.960938,35.203125,95747.25,34.5077,382.4408,53.73561,62.07971,86.88777
1763,79,2020,9,24,6,952,1371,133.945312,38.578125,95844.0,32.62716,0.0,50.25995,53.3971,86.20889
1764,79,2020,9,24,12,956,1401,134.507812,41.390625,95980.25,29.43345,0.0,48.02343,49.28616,90.82941
1765,79,2020,9,24,18,960,1430,135.070312,44.109375,95933.5,26.00391,541.3214,40.30664,49.38402,91.56298
1766,79,2020,9,25,0,957,1461,134.648438,47.015625,96676.25,20.21486,346.2162,38.3805,42.36025,92.05586
1767,79,2020,9,25,6,954,1472,134.226562,48.046875,97102.25,15.10019,55.35603,31.73573,33.94711,92.5751
1768,79,2020,9,25,12,959,1484,134.929688,49.171875,97572.0,11.75,217.4637,26.45308,26.70469,92.47935
1769,79,2020,9,25,18,961,1490,135.210938,49.734375,97765.0,10.43582,88.98413,22.79151,25.96392,91.36234
1770,80,2020,9,19,6,2440,1120,343.195312,15.046875,100962.5,12.6417,51.57023,18.56618,17.40375,62.19422
1771,80,2020,9,19,12,2431,1120,341.929687,15.046875,101096.8,16.73507,0.0,16.57983,18.49535,60.89194
1772,80,2020,9,19,18,2423,1122,340.804688,15.234375,100892.8,10.63676,0.0,15.93444,18.45603,64.47351
1773,80,2020,9,20,0,2421,1121,340.523438,15.140625,101186.5,11.02979,0.0,17.44276,22.58906,73.03471
1774,80,2020,9,20,6,2410,1114,338.976562,14.484375,100997.5,10.58079,0.0,14.27684,20.66587,76.74802
1775,80,2020,9,20,12,2397,1112,337.148437,14.296875,101211.5,12.11211,0.0,19.63137,20.4091,79.41986
1776,80,2020,9,21,0,2378,1106,334.476562,13.734375,101208.5,13.81858,0.0,19.93466,20.06591,83.31458
1777,80,2020,9,21,6,2364,1106,332.507812,13.734375,101053.0,16.57181,0.0,24.77965,21.31901,84.24055
1778,80,2020,9,21,18,2334,1101,328.289062,13.265625,100938.2,13.76703,0.0,20.5061,17.88592,84.67934
1779,80,2020,9,22,0,2326,1099,327.164063,13.078125,101231.8,13.60147,0.0,22.80488,22.50625,85.53956
1780,80,2020,9,22,6,2308,1103,324.632813,13.453125,100977.0,15.06911,0.0,22.43915,23.9224,84.37022
1781,80,2020,9,22,12,2294,1091,322.664062,12.328125,101254.8,14.089,0.0,23.09254,22.46803,83.50126
1782,81,2020,9,24,18,660,1114,92.882812,14.484375,100142.5,13.19327,0.0,17.53078,17.67767,84.94833
1783,81,2020,9,25,0,652,1121,91.757813,15.140625,100195.5,15.01301,0.0,17.83694,18.25,85.04176
1784,81,2020,9,25,6,639,1125,89.929688,15.515625,100144.0,14.48545,0.0,19.32696,19.3314,84.59568
1785,81,2020,9,25,12,647,1138,91.054688,16.734375,100072.5,14.40594,0.0,20.33009,20.88211,85.07602
1786,81,2020,9,25,18,644,1118,90.632812,14.859375,100017.5,18.29105,0.0,22.71323,20.42096,84.97067
1787,81,2020,9,26,0,633,1151,89.085937,17.953125,100045.5,15.69683,0.0,22.61706,24.32238,85.30994
1788,81,2020,9,26,6,626,1144,88.101562,17.296875,99849.0,19.19065,0.0,24.59834,26.1922,84.7534
1789,81,2020,9,26,12,628,1146,88.382812,17.484375,99681.0,17.52008,0.0,25.49663,25.77123,84.08767
1790,81,2020,9,26,18,629,1147,88.523438,17.578125,99700.5,17.86232,0.0,24.43614,22.43915,86.69103
1791,81,2020,9,27,0,612,1154,86.132812,18.234375,99023.0,24.77555,0.0,31.41681,30.25155,84.82875
1792,81,2020,9,27,6,618,1153,86.976562,18.140625,99250.25,19.10497,0.0,28.84576,28.98302,87.5
1793,81,2020,9,27,12,617,1172,86.835937,19.921875,99258.25,20.4332,0.0,32.25024,31.22199,86.35125
1794,81,2020,9,27,18,608,1169,85.570312,19.640625,99336.0,18.20886,0.0,26.83427,30.31836,89.24693
1795,81,2020,9,28,0,589,1170,82.898437,19.734375,99347.0,15.27304,285.658,27.00839,30.75635,88.47935
1796,81,2020,9,28,6,584,1175,82.195312,20.203125,99475.75,14.08734,508.0383,23.71346,29.20001,92.07899
1797,81,2020,9,28,12,579,1175,81.492188,20.203125,99295.0,12.9663,502.8296,27.92065,29.54049,91.89136
1798,81,2020,9,28,18,575,1178,80.929688,20.484375,99474.0,13.42223,421.9334,26.58506,27.65327,93.48321
1799,81,2020,9,29,0,566,1184,79.664062,21.046875,99600.0,9.789184,264.2234,22.6788,24.84483,92.98325
1800,81,2020,9,29,6,560,1184,78.820312,21.046875,99805.75,10.17426,395.9894,22.03548,25.78578,94.56951
1801,81,2020,9,29,12,556,1189,78.257812,21.515625,99747.5,9.778804,484.7797,23.86551,24.66177,93.07386
1802,81,2020,9,29,18,555,1198,78.117188,22.359375,99984.75,10.79134,448.2101,23.42341,27.86575,93.75605
1803,81,2020,9,30,0,552,1207,77.695312,23.203125,100005.5,9.576175,471.7008,24.95308,22.96227,94.08919
1804,81,2020,9,30,6,547,1218,76.992188,24.234375,100154.2,11.08067,427.0796,21.86214,23.92077,94.91433
1805,81,2020,9,30,12,543,1227,76.429688,25.078125,100002.8,8.913649,266.4914,22.37814,22.9592,93.95389
1806,81,2020,9,30,18,536,1231,75.445312,25.453125,100138.5,8.610495,339.043,19.41367,24.41119,92.04704
1813,82,2020,9,24,18,956,1149,134.507812,17.765625,100133.8,18.28122,0.0,23.98079,24.8976,81.62389
1814,82,2020,9,25,0,962,1158,135.351563,18.609375,100433.5,16.85323,0.0,21.39874,21.55371,82.2484
1815,82,2020,9,25,6,962,1169,135.351563,19.640625,100094.5,15.7371,0.0,18.38818,19.17233,83.07888
1816,82,2020,9,25,12,963,1172,135.492188,19.921875,100324.2,15.25051,0.0,20.42096,18.27738,82.66175
1817,82,2020,9,25,18,962,1183,135.351563,20.953125,100044.5,18.25,0.0,22.99185,24.1483,83.90208
1818,82,2020,9,26,0,954,1197,134.226562,22.265625,100269.2,19.18414,0.0,25.43527,27.26032,83.27969
1819,82,2020,9,26,6,956,1208,134.507812,23.296875,99916.75,21.56567,0.0,27.14429,25.43773,82.51603
1820,82,2020,9,26,12,947,1218,133.242188,24.234375,99967.25,21.875,0.0,29.83287,30.51332,77.07552
1821,82,2020,9,26,18,946,1228,133.101562,25.171875,99734.25,21.01525,0.0,27.90273,27.92428,73.24773
1822,82,2020,9,27,0,942,1240,132.539062,26.296875,99851.75,22.81515,0.0,27.5596,25.00125,76.34333
1823,82,2020,9,27,6,938,1249,131.976562,27.140625,99616.5,29.50953,0.0,37.03124,33.05322,75.1817
1824,82,2020,9,27,12,939,1265,132.117188,28.640625,99931.75,20.85403,0.0,27.9866,28.6501,75.9831
