track_id, year, month, day, hour, i, j, lon, lat, slp, wind
5, 2020, 2, 1, 0, 761, 382, 152.284603, 13.515017, 1.005595e+05, 1.108870e+01
5, 2020, 2, 1, 6, 762, 381, 152.484714, 13.715239, 1.003439e+05, 1.030046e+01
5, 2020, 2, 1, 12, 762, 381, 152.484714, 13.715239, 1.005912e+05, 1.032770e+01
5, 2020, 2, 1, 18, 763, 382, 152.684825, 13.515017, 1.004652e+05, 1.068224e+01
5, 2020, 2, 2, 0, 763, 380, 152.684825, 13.915462, 1.006985e+05, 1.236490e+01
5, 2020, 2, 2, 6, 761, 382, 152.284603, 13.515017, 1.004896e+05, 1.131081e+01
5, 2020, 2, 2, 12, 758, 383, 151.684269, 13.314794, 1.007284e+05, 1.188690e+01
5, 2020, 2, 2, 18, 755, 383, 151.083936, 13.314794, 1.005889e+05, 1.193612e+01
6, 2020, 2, 1, 18, 894, 513, 178.899389, -12.714127, 1.003089e+05, 1.217410e+01
6, 2020, 2, 2, 12, 899, 509, 179.899944, -11.913237, 1.002931e+05, 1.061260e+01
6, 2020, 2, 3, 12, 905, 505, 181.100611, -11.112347, 1.002351e+05, 1.156755e+01
6, 2020, 2, 3, 18, 905, 504, 181.100611, -10.912125, 1.001328e+05, 1.203112e+01
6, 2020, 2, 4, 0, 910, 504, 182.101167, -10.912125, 1.001202e+05, 1.287645e+01
6, 2020, 2, 4, 6, 911, 504, 182.301278, -10.912125, 1.000332e+05, 1.324090e+01
6, 2020, 2, 4, 12, 919, 505, 183.902168, -11.112347, 1.000904e+05, 1.535866e+01
6, 2020, 2, 4, 18, 925, 508, 185.102835, -11.713014, 9.994930e+04, 1.615043e+01
6, 2020, 2, 5, 0, 931, 513, 186.303502, -12.714127, 9.992059e+04, 1.737808e+01
6, 2020, 2, 5, 6, 934, 514, 186.903835, -12.914349, 9.988867e+04, 1.655423e+01
6, 2020, 2, 5, 12, 941, 519, 188.304614, -13.915462, 9.984689e+04, 1.784176e+01
6, 2020, 2, 5, 18, 947, 525, 189.505281, -15.116796, 9.969899e+04, 1.728771e+01
6, 2020, 2, 6, 0, 950, 527, 190.105614, -15.517241, 9.967672e+04, 1.902957e+01
6, 2020, 2, 6, 6, 954, 535, 190.906059, -17.119021, 9.965098e+04, 1.893734e+01
6, 2020, 2, 6, 12, 960, 542, 192.106726, -18.520578, 9.963228e+04, 1.878812e+01
7, 2020, 2, 3, 12, 326, 518, 65.236242, -13.715239, 1.004321e+05, 1.151303e+01
7, 2020, 2, 3, 18, 322, 524, 64.435798, -14.916574, 1.006296e+05, 1.312796e+01
7, 2020, 2, 4, 0, 317, 528, 63.435242, -15.717464, 1.002313e+05, 1.249668e+01
7, 2020, 2, 4, 6, 311, 532, 62.234575, -16.518354, 1.002912e+05, 1.513605e+01
7, 2020, 2, 4, 12, 304, 533, 60.833797, -16.718576, 1.000020e+05, 1.550513e+01
7, 2020, 2, 4, 18, 304, 533, 60.833797, -16.718576, 1.001667e+05, 1.463641e+01
7, 2020, 2, 5, 0, 306, 537, 61.234019, -17.519466, 9.979958e+04, 1.508356e+01
7, 2020, 2, 5, 6, 305, 543, 61.033908, -18.720801, 9.994809e+04, 1.747193e+01
7, 2020, 2, 5, 12, 299, 550, 59.833241, -20.122358, 9.972329e+04, 1.813800e+01
7, 2020, 2, 5, 18, 295, 551, 59.032796, -20.322581, 9.989849e+04, 1.834155e+01
7, 2020, 2, 6, 0, 295, 557, 59.032796, -21.523915, 9.971268e+04, 1.999259e+01
7, 2020, 2, 6, 6, 288, 564, 57.632018, -22.925473, 9.989091e+04, 1.954492e+01
7, 2020, 2, 6, 12, 284, 563, 56.831573, -22.725250, 9.978631e+04, 1.882889e+01
7, 2020, 2, 6, 18, 279, 572, 55.831017, -24.527253, 1.000417e+05, 2.091109e+01
7, 2020, 2, 7, 0, 276, 571, 55.230684, -24.327030, 9.980809e+04, 1.899845e+01
7, 2020, 2, 7, 6, 274, 575, 54.830461, -25.127920, 1.000093e+05, 1.856933e+01
7, 2020, 2, 7, 12, 269, 583, 53.829906, -26.729700, 9.972316e+04, 2.167289e+01
7, 2020, 2, 7, 18, 272, 582, 54.430239, -26.529477, 9.967961e+04, 1.924112e+01
8, 2020, 2, 6, 18, 927, 248, 185.503057, 40.344828, 9.743832e+04, 1.688754e+01
8, 2020, 2, 7, 0, 928, 248, 185.703168, 40.344828, 9.750387e+04, 1.598210e+01
8, 2020, 2, 7, 6, 928, 249, 185.703168, 40.144605, 9.775955e+04, 1.566316e+01
