track_id, year, month, day, hour, i, lon, lat, slp, wind
3, 2020, 1, 28, 15, 646398, 146.074219, -14.785991, 9.995077e+04, 1.371787e+01
3, 2020, 1, 28, 18, 652343, 140.976562, -12.482811, 9.975532e+04, 1.774658e+01
3, 2020, 1, 28, 21, 652362, 141.503906, -12.635677, 9.963525e+04, 1.867875e+01
3, 2020, 1, 29, 0, 652363, 141.679688, -12.482811, 9.949937e+04, 1.774633e+01
3, 2020, 1, 29, 3, 652365, 142.207031, -12.330035, 9.955888e+04, 1.762733e+01
3, 2020, 1, 29, 6, 652369, 142.910156, -12.330035, 9.954023e+04, 1.678889e+01
3, 2020, 1, 29, 9, 646902, 143.613281, -12.635677, 9.964757e+04, 1.777677e+01
3, 2020, 1, 29, 12, 646879, 144.140625, -12.788634, 9.966645e+04, 1.667893e+01
3, 2020, 1, 29, 15, 646954, 145.019531, -13.248069, 9.933404e+04, 1.757528e+01
3, 2020, 1, 29, 18, 646773, 145.371094, -13.862006, 9.916994e+04, 1.825828e+01
3, 2020, 1, 29, 21, 646740, 145.898438, -14.631727, 9.914856e+04, 2.119020e+01
3, 2020, 1, 30, 0, 646386, 146.074219, -15.404157, 9.902415e+04, 2.143818e+01
3, 2020, 1, 30, 3, 646345, 146.074219, -16.334890, 9.875654e+04, 2.224690e+01
3, 2020, 1, 30, 6, 646295, 145.898438, -16.801907, 9.863915e+04, 2.337354e+01
3, 2020, 1, 30, 9, 646288, 145.546875, -17.426395, 9.916470e+04, 2.436708e+01
3, 2020, 1, 30, 12, 646273, 145.019531, -17.896163, 9.917491e+04, 1.951125e+01
3, 2020, 1, 30, 15, 645499, 144.492188, -18.681902, 9.929171e+04, 1.815536e+01
3, 2020, 1, 30, 18, 645568, 143.437500, -19.313119, 9.937360e+04, 1.634850e+01
3, 2020, 1, 30, 21, 645521, 142.910156, -19.788132, 9.950227e+04, 1.444990e+01
3, 2020, 1, 31, 0, 645510, 142.207031, -20.105594, 9.960984e+04, 1.377957e+01
3, 2020, 1, 31, 3, 645341, 141.503906, -20.423701, 9.961371e+04, 1.595656e+01
3, 2020, 1, 31, 6, 645351, 140.273438, -20.583000, 9.969741e+04, 1.283819e+01
3, 2020, 1, 31, 9, 645700, 139.570312, -20.264566, 9.991235e+04, 1.253995e+01
4, 2020, 1, 28, 21, 650473, 122.871094, -15.713926, 1.001896e+05, 1.692563e+01
4, 2020, 1, 29, 0, 650816, 122.343750, -15.558983, 1.001123e+05, 1.949775e+01
4, 2020, 1, 29, 3, 650818, 122.167969, -15.404157, 9.987349e+04, 1.814589e+01
4, 2020, 1, 29, 6, 650819, 122.343750, -15.249446, 9.964754e+04, 1.941358e+01
4, 2020, 1, 29, 9, 650775, 121.992188, -15.558983, 9.969470e+04, 1.973847e+01
4, 2020, 1, 29, 12, 650781, 121.816406, -15.404157, 9.972944e+04, 1.799850e+01
4, 2020, 1, 29, 15, 650781, 121.816406, -15.404157, 9.947106e+04, 1.930760e+01
4, 2020, 1, 29, 18, 650826, 121.816406, -15.094849, 9.913379e+04, 2.333698e+01
4, 2020, 1, 29, 21, 650826, 121.816406, -15.094849, 9.906385e+04, 1.979637e+01
